Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,22,0,0.01,0.4,0.0365911
2,Intensity 2,22,0,0.1,0.4,0.00185937
3,Intensity 3,22,0,0.12,0.4,0.00141759
4,Intensity 4,22,0,0.14,0.4,0.00112176
5,Intensity 5,22,0,0.16,0.4,0.000912618
6,Intensity 6,22,0,0.18,0.4,0.000758612
7,Intensity 7,22,0,0.2,0.4,0.000641534
8,Intensity 8,22,0,0.22,0.4,0.00055022
9,Intensity 9,22,0,0.24,0.4,0.000477486
10,Intensity 10,22,0,0.26,0.4,0.000418522
11,Intensity 11,22,0,0.28,0.4,0.000369999
12,Intensity 12,22,0,0.3,0.4,0.00032955
13,Intensity 13,22,0,0.32,0.4,0.000295452
14,Intensity 14,22,0,0.34,0.4,0.000266421
15,Intensity 15,22,0,0.36,0.4,0.000241489
16,Intensity 16,22,0,0.38,0.4,0.000219909
17,Intensity 17,22,0,0.4,0.4,0.000201099
18,Intensity 18,22,0,0.5,0.4,0.000135336
19,Intensity 19,22,0,0.6,0.4,9.70679e-05
20,Intensity 20,22,0,0.7,0.4,7.28231e-05
21,Intensity 21,22,0,0.8,0.4,5.64987e-05
22,Intensity 22,22,0,0.9,0.4,4.49916e-05
23,Intensity 23,22,0,1,0.4,3.65839e-05
24,Intensity 24,22,0,1.1,0.4,3.02611e-05
25,Intensity 25,22,0,1.2,0.4,2.53917e-05
26,Intensity 26,22,0,1.5,0.4,1.60319e-05
27,Intensity 27,22,0,2,0.4,8.66892e-06
28,Intensity 28,22,0,3,0.4,3.48417e-06
29,Intensity 29,22,0,4,0.4,1.76335e-06
30,Intensity 30,22,0,5,0.4,1.01815e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22
2,Story Drift Ratio,7,1,0.00261461,0.0028988,0.00230057,0.00293608,0.0021915,0.00245658,0.00331141,0.00180199,0.00237776,0.0033877,0.00318985,0.00298664,0.00262701,0.00322918,0.00220137,0.00232868,0.00221206,0.00204119,0.00289473,0.00212521,0.00209571,0.00336163
2,Story Drift Ratio,7,2,0.00237042,0.00313752,0.00274716,0.00237416,0.00280389,0.00257966,0.00259435,0.0033912,0.0036619,0.00236215,0.00273893,0.00200939,0.00254542,0.00239038,0.00343317,0.00250916,0.00260826,0.00292329,0.00260039,0.00240391,0.00277394,0.00250183
2,Story Drift Ratio,8,1,0.00245397,0.00286229,0.0021407,0.00274179,0.00207252,0.00231488,0.00316456,0.00173575,0.00228203,0.0032708,0.00306681,0.00278031,0.00245959,0.00312321,0.00208861,0.00217387,0.00205852,0.00201059,0.00269868,0.00199551,0.00199458,0.00333228
2,Story Drift Ratio,8,2,0.00221301,0.00284317,0.00258277,0.00222373,0.00260627,0.00239649,0.00251672,0.00316363,0.00337542,0.00223147,0.00265917,0.00188313,0.0023887,0.00225544,0.00316789,0.00240999,0.00243885,0.00295719,0.00257584,0.00224216,0.00269605,0.00249417
2,Story Drift Ratio,9,1,0.00190764,0.00237324,0.00158243,0.00204821,0.00157487,0.00172126,0.00258188,0.00134639,0.00187957,0.00272826,0.00253632,0.00206501,0.00192789,0.00265091,0.00159868,0.0016109,0.00151684,0.00162183,0.00210691,0.0014921,0.00162369,0.00274429
2,Story Drift Ratio,9,2,0.001644,0.00240531,0.00203974,0.00167102,0.00193353,0.00176972,0.00204227,0.00251463,0.00249163,0.00170881,0.00216975,0.00144171,0.00178259,0.00174835,0.00234334,0.00191886,0.00180741,0.00278919,0.0021557,0.00166913,0.00223384,0.00217602
2,Acceleration,1,1,0.247523,0.746347,0.145024,0.248864,0.167475,0.284102,0.569418,0.443809,0.413372,0.220494,0.237145,0.226854,0.273989,0.186155,0.442729,0.106472,0.0930627,0.455983,0.355569,0.182376,0.211796,0.442643
2,Acceleration,1,2,0.214666,0.657156,0.215171,0.256107,0.122117,0.171172,0.487182,0.292183,0.607623,0.136844,0.26097,0.265085,0.263268,0.19306,0.282807,0.124315,0.10903,0.488508,0.387523,0.176104,0.261836,0.630426
2,Acceleration,2,1,0.207309,0.773266,0.12352,0.202207,0.14355,0.197691,0.471761,0.286867,0.44436,0.373614,0.291145,0.187159,0.223025,0.264632,0.232944,0.0791513,0.0800588,0.369597,0.233285,0.162652,0.138083,0.654185
2,Acceleration,2,2,0.123672,1.17712,0.139467,0.146386,0.0980397,0.122926,0.502725,0.306925,1.1757,0.112258,0.387855,0.352107,0.237483,0.261037,0.332001,0.10593,0.083764,0.412236,0.346003,0.150546,0.29954,0.827946
2,Acceleration,3,1,0.178573,0.948277,0.139082,0.207761,0.110122,0.166469,0.536139,0.244459,0.39896,0.324533,0.310016,0.168591,0.193996,0.326221,0.209905,0.0883708,0.0861507,0.372179,0.241627,0.142207,0.0965333,0.568902
