Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
2,Acceleration,9,1,0.042349,0.0422295,0.042314,0.0422986,0.0423396,0.0423198,0.0423401,0.0422651,0.0423275,0.0422073
2,Acceleration,9,2,0.0777482,0.0778161,0.0776635,0.0776505,0.0776877,0.0776958,0.0775841,0.0778014,0.0776843,0.0776876
2,Acceleration,10,1,0.0586159,0.0586123,0.0587067,0.058567,0.0586076,0.0586413,0.0586161,0.0586621,0.0586016,0.0586091
2,Acceleration,10,2,0.118481,0.118336,0.11845,0.118436,0.118591,0.118359,0.118435,0.118519,0.118393,0.118465
2,Residual Drift,,,4.6691e-05,4.66498e-05,4.67347e-05,4.67177e-05,4.6661e-05,4.66089e-05,4.67878e-05,4.66318e-05,4.66806e-05,4.66847e-05
3,Story Drift Ratio,1,1,0.00068291,0.000681106,0.000680989,0.000682126,0.00068172,0.000681947,0.000682422,0.000681086,0.000681546,0.000682355
3,Story Drift Ratio,1,2,0.00103095,0.00103106,0.00103383,0.00103163,0.00102843,0.00103084,0.0010313,0.0010322,0.00102948,0.00103079
3,Story Drift Ratio,2,1,0.000995299,0.000996241,0.000994868,0.00099595,0.000994628,0.00099556,0.000994132,0.000995123,0.000994027,0.000994669
3,Story Drift Ratio,2,2,0.00149989,0.00150407,0.00150079,0.00150339,0.00150479,0.00150099,0.00150375,0.00150116,0.00150187,0.00150173
3,Story Drift Ratio,3,1,0.00122028,0.00121994,0.0012231,0.00122169,0.00122195,0.00122331,0.00122296,0.00122126,0.00122279,0.00122137
3,Story Drift Ratio,3,2,0.00190691,0.0019012,0.00190675,0.0019046,0.00190574,0.00190205,0.00190397,0.001903,0.00190346,0.00190469
3,Story Drift Ratio,4,1,0.0013226,0.00132228,0.00132338,0.00132132,0.00132212,0.00132182,0.00132055,0.00132313,0.00132305,0.00132204
3,Story Drift Ratio,4,2,0.00212495,0.00212814,0.00212564,0.00212435,0.0021273,0.00212141,0.00212686,0.00212376,0.00212989,0.00212801
3,Story Drift Ratio,5,1,0.00132817,0.00132697,0.00132458,0.00132772,0.00132389,0.00132441,0.00132511,0.00132969,0.00132548,0.00132495
3,Story Drift Ratio,5,2,0.0021584,0.00215521,0.00216291,0.00215632,0.00215917,0.00215748,0.00215862,0.00215529,0.00215733,0.00215595
3,Story Drift Ratio,6,1,0.00137919,0.00138162,0.00138235,0.0013812,0.00138031,0.00138089,0.00138281,0.00138134,0.00138118,0.00138242
